#Entry,Positiv,Negativ,Strong,Weak
A,,,,
ABANDON,,Negativ,,Weak
ABANDONMENT,,Negativ,,Weak
ABATE,,Negativ,,
ABATEMENT,,,,
ABDICATE,,Negativ,,Weak
ABHOR,,Negativ,,
ABIDE,Positiv,,,
ABILITY,Positiv,,Strong,
ABJECT,,Negativ,,Weak
ABLE,Positiv,,Strong,
ABNORMAL,,Negativ,,
ABOARD,,,,
ABOLISH,,Negativ,Strong,
ABOLITION,,,,
ABOMINABLE,,Negativ,Strong,
ABORTIVE,,,,
ABOUND,Positiv,,,
ABOUT#1,,,,
ABOUT#2,,,,
ABOUT#3,,,,
ABOUT#4,,,,
ABOUT#5,,,,
ABOUT#6,,,,
ABOUT#7,,,,
ABOVE#1,,,,
ABOVE#2,,,,
ABOVE#3,,,,
ABOVE#4,,,,
ABRASIVE,,Negativ,Strong,
ABROAD,,,,
ABRUPT,,Negativ,,
ABSCOND,,Negativ,,Weak
ABSENCE,,Negativ,,Weak
ABSENT#1,,Negativ,,Weak
ABSENT#2,,,,
ABSENT-MINDED,,Negativ,,Weak
ABSENTEE,,Negativ,,Weak
ABSOLUTE#1,,,Strong,
ABSOLUTE#2,,,Strong,
ABSOLVE,Positiv,,,
ABSORB#1,,,,
ABSORB#2,,,,
ABSORBENT,Positiv,,,
ABSORPTION,Positiv,,,
ABSTAIN,,,,
ABSTRACT,,,,
ABSTRACTION,,,,
ABSURD,,Negativ,,
ABSURDITY,,Negativ,,
ABUNDANCE,Positiv,,Strong,
ABUNDANT,Positiv,,Strong,
ABUSE#1,,Negativ,,
ABUSE#2,,Negativ,Strong,
ABYSS,,Negativ,,
ABYSSINIA,,,,
ACADEMIC,,,,
ACADEMY,,,,
ACCEDE,Positiv,,,
ACCELERATE,,,Strong,
ACCELERATION,,,Strong,
ACCENTUATE,Positiv,,,
ACCEPT,Positiv,,,
ACCEPTABLE,Positiv,,,
ACCEPTANCE,Positiv,,,
ACCESS,,,,
ACCESSIBLE,Positiv,,,
ACCESSION,Positiv,,Strong,
ACCIDENT,,Negativ,,
ACCIDENTAL,,,,
ACCLAIM,Positiv,,,
ACCLAMATION,Positiv,,,
ACCOLADE,Positiv,,,
ACCOMMODATE,Positiv,,,
ACCOMMODATION,Positiv,,,
ACCOMPANIMENT,Positiv,,,
ACCOMPANY#1,,,,
ACCOMPANY#2,,,,
ACCOMPLISH,Positiv,,Strong,
ACCOMPLISHMENT,Positiv,,Strong,
ACCORD#1,,,,
ACCORD#2,Positiv,,,
ACCORD#3,Positiv,,,
ACCORD#4,,,,
ACCORD#5,Positiv,,,
ACCORDANCE,Positiv,,,
ACCOST,,Negativ,,
ACCOUNT#1,,,,
ACCOUNT#2,,,,
ACCOUNT#3,,,,
ACCOUNT#4,,,,
ACCOUNT#5,,,,
ACCOUNT#6,,,,
ACCOUNT#7,,,,
ACCOUNT#8,,,,
ACCOUNTABLE,Positiv,,,
ACCRUE,Positiv,,,
ACCUMULATE,,,,
ACCUMULATION,,,,
ACCURACY,Positiv,,,
ACCURATE,Positiv,,,
ACCURATENESS,Positiv,,,
ACCURSED,,Negativ,,
ACCUSATION,,Negativ,,
ACCUSE#1,,Negativ,,
ACCUSE#2,,Negativ,,
ACCUSTOM#1,,,,
ACCUSTOM#2,,,,
ACHE,,Negativ,,
ACHIEVE,Positiv,,Strong,
ACHIEVEMENT,Positiv,,,
ACKNOWLEDGE,,,,
ACKNOWLEDGEMENT,Positiv,,,
ACKNOWLEDGMENT,,,,
ACQUAINT,Positiv,,,
ACQUAINTANCE,Positiv,,,
ACQUIRE#1,,,Strong,
ACQUIRE#2,,,Strong,
ACQUISITION,,,Strong,
ACQUIT,Positiv,,,
ACQUITTAL,Positiv,,,
ACRE,,,,
ACRIMONIOUS,,Negativ,,
ACRIMONY,,Negativ,,
ACROSS#1,,,,
ACROSS#2,,,,
ACROSS#3,,,,
ACROSS#4,,,,
ACROSS#5,,,,
ACT#1,,,Strong,
ACT#2,,,Strong,
ACT#3,,,Strong,
ACT#4,,,,
ACTION,,,Strong,
ACTIVE#1,,,Strong,
ACTIVE#2,,,,
ACTIVITY,,,,
ACTOR,,,,
ACTUAL#1,Positiv,,,
ACTUAL#2,Positiv,,,
ACTUALITY,Positiv,,,
ACUTE,,,,
ADAMANT,Positiv,,Strong,
ADAPT,,,Strong,
ADAPTABILITY,Positiv,,Strong,
ADAPTABLE,Positiv,,Strong,
ADAPTATION,Positiv,,Strong,
ADAPTIVE,Positiv,,Strong,
ADD#1,,,Strong,
ADD#2,,,,
ADDICT,,Negativ,,Weak
ADDICTION,,Negativ,,Weak
ADDITION#1,,,,
ADDITION#2,,,Strong,
